學年度,族籍別,性別,等級別,在學數
104,太魯閣族,男,碩士班,47
104,太魯閣族,男,學士班,538
104,太魯閣族,男,二專,25
104,太魯閣族,男,五專,38
104,太魯閣族,女,總計,1154
104,太魯閣族,女,博士班,0
104,太魯閣族,女,碩士班,53
104,太魯閣族,女,學士班,739
104,太魯閣族,女,二專,42
104,太魯閣族,女,五專,320
104,撒奇萊雅族,男,總計,42
104,撒奇萊雅族,男,博士班,0
104,撒奇萊雅族,男,碩士班,3
104,撒奇萊雅族,男,學士班,35
104,撒奇萊雅族,男,二專,1
104,撒奇萊雅族,男,五專,3
104,撒奇萊雅族,女,總計,57
104,撒奇萊雅族,女,博士班,0
104,撒奇萊雅族,女,碩士班,3
104,撒奇萊雅族,女,學士班,46
104,撒奇萊雅族,女,二專,2
104,撒奇萊雅族,女,五專,6
104,賽德克族,男,總計,242
104,賽德克族,男,博士班,2
104,賽德克族,男,碩士班,13
104,賽德克族,男,學士班,213
104,賽德克族,男,二專,9
104,賽德克族,男,五專,5
104,賽德克族,女,總計,391
104,賽德克族,女,博士班,1
104,賽德克族,女,碩士班,13
104,賽德克族,女,學士班,256
104,賽德克族,女,二專,9
104,賽德克族,女,五專,112
104,拉阿魯哇族,男,總計,5
104,拉阿魯哇族,男,博士班,0
104,拉阿魯哇族,男,碩士班,0
104,拉阿魯哇族,男,學士班,5
104,拉阿魯哇族,男,二專,0
104,拉阿魯哇族,男,五專,0
104,拉阿魯哇族,女,總計,7
104,拉阿魯哇族,女,博士班,0
104,拉阿魯哇族,女,碩士班,0
104,拉阿魯哇族,女,學士班,5
104,拉阿魯哇族,女,二專,0
104,拉阿魯哇族,女,五專,2
104,卡那卡那富族,男,總計,4
104,卡那卡那富族,男,博士班,1
104,卡那卡那富族,男,碩士班,0
104,卡那卡那富族,男,學士班,2
104,卡那卡那富族,男,二專,0
104,卡那卡那富族,男,五專,1
104,卡那卡那富族,女,總計,6
104,卡那卡那富族,女,博士班,0
104,卡那卡那富族,女,碩士班,0
104,卡那卡那富族,女,學士班,5
104,卡那卡那富族,女,二專,0
104,卡那卡那富族,女,五專,1
104,其他,男,總計,32
104,其他,男,博士班,0
104,其他,男,碩士班,1
104,其他,男,學士班,29
104,其他,男,二專,2
104,其他,男,五專,0
104,其他,女,總計,42
104,其他,女,博士班,0
104,其他,女,碩士班,3
104,其他,女,學士班,24
104,其他,女,二專,4
104,其他,女,五專,11
105,總計,男,總計,10547
105,總計,男,博士班,77
105,總計,男,碩士班,694
105,總計,男,學士班,8713
105,總計,男,二專,410
105,總計,男,五專,653
105,總計,女,總計,16474
105,總計,女,博士班,50
105,總計,女,碩士班,800
105,總計,女,學士班,11082
105,總計,女,二專,700
105,總計,女,五專,3842
105,阿美族,男,總計,3949
105,阿美族,男,博士班,18
105,阿美族,男,碩士班,221
105,阿美族,男,學士班,3355
105,阿美族,男,二專,143
105,阿美族,男,五專,212
105,阿美族,女,總計,5740
105,阿美族,女,博士班,9
105,阿美族,女,碩士班,222
105,阿美族,女,學士班,4092
105,阿美族,女,二專,272
105,阿美族,女,五專,1145
105,泰雅族,男,總計,1639
105,泰雅族,男,博士班,16
105,泰雅族,男,碩士班,120
105,泰雅族,男,學士班,1362
105,泰雅族,男,二專,46
105,泰雅族,男,五專,95
105,泰雅族,女,總計,2581
105,泰雅族,女,博士班,11
105,泰雅族,女,碩士班,143
105,泰雅族,女,學士班,1703
105,泰雅族,女,二專,89
105,泰雅族,女,五專,635
105,排灣族,男,總計,1873
105,排灣族,男,博士班,13
105,排灣族,男,碩士班,139
105,排灣族,男,學士班,1482
105,排灣族,男,二專,95
105,排灣族,男,五專,144
105,排灣族,女,總計,3288
105,排灣族,女,博士班,14
105,排灣族,女,碩士班,142
105,排灣族,女,學士班,2143
105,排灣族,女,二專,161
105,排灣族,女,五專,828
105,布農族,男,總計,1131
105,布農族,男,博士班,9
105,布農族,男,碩士班,81
105,布農族,男,學士班,903
105,布農族,男,二專,48
105,布農族,男,五專,90
105,布農族,女,總計,1782
105,布農族,女,博士班,6
105,布農族,女,碩士班,97
105,布農族,女,學士班,1072
105,布農族,女,二專,66
105,布農族,女,五專,541
105,卑南族,男,總計,318
105,卑南族,男,博士班,2
105,卑南族,男,碩士班,17
105,卑南族,男,學士班,270
105,卑南族,男,二專,10
105,卑南族,男,五專,19
105,卑南族,女,總計,437
105,卑南族,女,博士班,2
105,卑南族,女,碩士班,31
105,卑南族,女,學士班,310
105,卑南族,女,二專,14
105,卑南族,女,五專,80
105,鄒族,男,總計,159
105,鄒族,男,博士班,2
105,鄒族,男,碩士班,10
105,鄒族,男,學士班,140
105,鄒族,男,二專,2
105,鄒族,男,五專,5
105,鄒族,女,總計,219
105,鄒族,女,博士班,0
105,鄒族,女,碩士班,19
105,鄒族,女,學士班,174
105,鄒族,女,二專,2
105,鄒族,女,五專,24
105,魯凱族,男,總計,265
105,魯凱族,男,博士班,5
105,魯凱族,男,碩士班,19
105,魯凱族,男,學士班,208
105,魯凱族,男,二專,13
105,魯凱族,男,五專,20
105,魯凱族,女,總計,477
105,魯凱族,女,博士班,1
105,魯凱族,女,碩士班,32
105,魯凱族,女,學士班,309
105,魯凱族,女,二專,32
105,魯凱族,女,五專,103
105,賽夏族,男,總計,149
105,賽夏族,男,博士班,2
105,賽夏族,男,碩士班,10
105,賽夏族,男,學士班,127
105,賽夏族,男,二專,4
105,賽夏族,男,五專,6
105,賽夏族,女,總計,186
105,賽夏族,女,博士班,1
105,賽夏族,女,碩士班,13
105,賽夏族,女,學士班,134
105,賽夏族,女,二專,3
105,賽夏族,女,五專,35
105,雅美族,男,總計,90
105,雅美族,男,博士班,0
105,雅美族,男,碩士班,3
105,雅美族,男,學士班,79
105,雅美族,男,二專,4
105,雅美族,男,五專,4
105,雅美族,女,總計,138
105,雅美族,女,博士班,0
105,雅美族,女,碩士班,4
105,雅美族,女,學士班,115
105,雅美族,女,二專,3
105,雅美族,女,五專,16
105,邵族,男,總計,23
105,邵族,男,博士班,0
105,邵族,男,碩士班,1
105,邵族,男,學士班,21
105,邵族,男,二專,0
105,邵族,男,五專,1
105,邵族,女,總計,25
105,邵族,女,博士班,2
105,邵族,女,碩士班,1
105,邵族,女,學士班,19
105,邵族,女,二專,0
105,邵族,女,五專,3
105,噶瑪蘭族,男,總計,31
105,噶瑪蘭族,男,博士班,0
105,噶瑪蘭族,男,碩士班,0
105,噶瑪蘭族,男,學士班,30
105,噶瑪蘭族,男,二專,1
105,噶瑪蘭族,男,五專,0
105,噶瑪蘭族,女,總計,39
105,噶瑪蘭族,女,博士班,0
105,噶瑪蘭族,女,碩士班,1
105,噶瑪蘭族,女,學士班,32
105,噶瑪蘭族,女,二專,0
105,噶瑪蘭族,女,五專,6
105,太魯閣族,男,總計,644
105,太魯閣族,男,博士班,5
105,太魯閣族,男,碩士班,52
105,太魯閣族,男,學士班,506
105,太魯閣族,男,二專,32
105,太魯閣族,男,五專,49
105,太魯閣族,女,總計,1138
105,太魯閣族,女,博士班,3
105,太魯閣族,女,碩士班,71
105,太魯閣族,女,學士班,712
105,太魯閣族,女,二專,45
105,太魯閣族,女,五專,307
105,撒奇萊雅族,男,總計,34
105,撒奇萊雅族,男,博士班,1
105,撒奇萊雅族,男,碩士班,3
105,撒奇萊雅族,男,學士班,28
105,撒奇萊雅族,男,二專,0
105,撒奇萊雅族,男,五專,2
105,撒奇萊雅族,女,總計,27
105,撒奇萊雅族,女,博士班,0
105,撒奇萊雅族,女,碩士班,2
105,撒奇萊雅族,女,學士班,18
105,撒奇萊雅族,女,二專,1
105,撒奇萊雅族,女,五專,6
105,賽德克族,男,總計,228
105,賽德克族,男,博士班,2
105,賽德克族,男,碩士班,17
105,賽德克族,男,學士班,194
105,賽德克族,男,二專,10
105,賽德克族,男,五專,5
105,賽德克族,女,總計,383
105,賽德克族,女,博士班,1
105,賽德克族,女,碩士班,20
105,賽德克族,女,學士班,239
105,賽德克族,女,二專,12
105,賽德克族,女,五專,111
105,拉阿魯哇族,男,總計,8
105,拉阿魯哇族,男,博士班,1
105,拉阿魯哇族,男,碩士班,0
105,拉阿魯哇族,男,學士班,6
105,拉阿魯哇族,男,二專,1
105,拉阿魯哇族,男,五專,0
105,拉阿魯哇族,女,總計,7
105,拉阿魯哇族,女,博士班,0
105,拉阿魯哇族,女,碩士班,1
105,拉阿魯哇族,女,學士班,5
105,拉阿魯哇族,女,二專,0
105,拉阿魯哇族,女,五專,1
105,卡那卡那富族,男,總計,6
105,卡那卡那富族,男,博士班,1
105,卡那卡那富族,男,碩士班,1
105,卡那卡那富族,男,學士班,2
105,卡那卡那富族,男,二專,1
105,卡那卡那富族,男,五專,1
105,卡那卡那富族,女,總計,7
105,卡那卡那富族,女,博士班,0
105,卡那卡那富族,女,碩士班,1
105,卡那卡那富族,女,學士班,5
105,卡那卡那富族,女,二專,0
105,卡那卡那富族,女,五專,1
106,總計,男,總計,10553
106,總計,男,博士班,85
106,總計,男,碩士班,762
106,總計,男,學士班,8719
106,總計,男,二專,382
106,總計,男,五專,605
106,總計,女,總計,16538
106,總計,女,博士班,53
106,總計,女,碩士班,932
106,總計,女,學士班,11166
106,總計,女,二專,726
106,總計,女,五專,3661
106,阿美族,男,總計,3892
106,阿美族,男,博士班,19
106,阿美族,男,碩士班,247
106,阿美族,男,學士班,3319
106,阿美族,男,二專,106
106,阿美族,男,五專,201
106,阿美族,女,總計,5678
106,阿美族,女,博士班,11
106,阿美族,女,碩士班,254
106,阿美族,女,學士班,4092
106,阿美族,女,二專,229
106,阿美族,女,五專,1092
106,泰雅族,男,總計,1670
106,泰雅族,男,博士班,15
106,泰雅族,男,碩士班,121
106,泰雅族,男,學士班,1389
106,泰雅族,男,二專,57
106,泰雅族,男,五專,88
106,泰雅族,女,總計,2536
106,泰雅族,女,博士班,7
106,泰雅族,女,碩士班,165
106,泰雅族,女,學士班,1664
106,泰雅族,女,二專,97
106,泰雅族,女,五專,603
106,排灣族,男,總計,1844
106,排灣族,男,博士班,17
106,排灣族,男,碩士班,151
106,排灣族,男,學士班,1448
106,排灣族,男,二專,106
106,排灣族,男,五專,122
106,排灣族,女,總計,3310
106,排灣族,女,博士班,18
106,排灣族,女,碩士班,182
106,排灣族,女,學士班,2130
106,排灣族,女,二專,180
106,排灣族,女,五專,800
106,布農族,男,總計,1134
106,布農族,男,博士班,10
106,布農族,男,碩士班,92
106,布農族,男,學士班,909
106,布農族,男,二專,35
106,布農族,男,五專,88
106,布農族,女,總計,1748
106,布農族,女,博士班,9
106,布農族,女,碩士班,110
106,布農族,女,學士班,1053
106,布農族,女,二專,75
106,布農族,女,五專,501
106,卑南族,男,總計,302
106,卑南族,男,博士班,1
106,卑南族,男,碩士班,20
106,卑南族,男,學士班,262
106,卑南族,男,二專,9
106,卑南族,男,五專,10
106,卑南族,女,總計,435
106,卑南族,女,博士班,1
106,卑南族,女,碩士班,39
106,卑南族,女,學士班,292
106,卑南族,女,二專,15
106,卑南族,女,五專,88
106,鄒族,男,總計,151
106,鄒族,男,博士班,2
106,鄒族,男,碩士班,13
106,鄒族,男,學士班,131
106,鄒族,男,二專,2
106,鄒族,男,五專,3
106,鄒族,女,總計,223
106,鄒族,女,博士班,1
106,鄒族,女,碩士班,16
106,鄒族,女,學士班,184
106,鄒族,女,二專,3
106,鄒族,女,五專,19
106,魯凱族,男,總計,283
106,魯凱族,男,博士班,6
106,魯凱族,男,碩士班,19
106,魯凱族,男,學士班,219
106,魯凱族,男,二專,16
106,魯凱族,男,五專,23
106,魯凱族,女,總計,504
106,魯凱族,女,博士班,1
106,魯凱族,女,碩士班,44
106,魯凱族,女,學士班,334
106,魯凱族,女,二專,27
106,魯凱族,女,五專,98
106,賽夏族,男,總計,157
106,賽夏族,男,博士班,2
106,賽夏族,男,碩士班,14
106,賽夏族,男,學士班,131
106,賽夏族,男,二專,3
106,賽夏族,男,五專,7
106,賽夏族,女,總計,210
106,賽夏族,女,博士班,1
106,賽夏族,女,碩士班,9
106,賽夏族,女,學士班,164
106,賽夏族,女,二專,4
106,賽夏族,女,五專,32
106,雅美族,男,總計,101
106,雅美族,男,博士班,0
106,雅美族,男,碩士班,4
106,雅美族,男,學士班,84
106,雅美族,男,二專,10
106,雅美族,男,五專,3
106,雅美族,女,總計,169
106,雅美族,女,博士班,0
106,雅美族,女,碩士班,5
106,雅美族,女,學士班,124
106,雅美族,女,二專,27
106,雅美族,女,五專,13
106,邵族,男,總計,27
106,邵族,男,博士班,0
106,邵族,男,碩士班,3
106,邵族,男,學士班,23
106,邵族,男,二專,0
106,邵族,男,五專,1
106,邵族,女,總計,28
106,邵族,女,博士班,1
106,邵族,女,碩士班,1
106,邵族,女,學士班,23
106,邵族,女,二專,2
106,邵族,女,五專,1
106,噶瑪蘭族,男,總計,28
106,噶瑪蘭族,男,博士班,0
106,噶瑪蘭族,男,碩士班,1
106,噶瑪蘭族,男,學士班,26
106,噶瑪蘭族,男,二專,1
106,噶瑪蘭族,男,五專,0
106,噶瑪蘭族,女,總計,43
106,噶瑪蘭族,女,博士班,0
106,噶瑪蘭族,女,碩士班,2
106,噶瑪蘭族,女,學士班,33
106,噶瑪蘭族,女,二專,3
106,噶瑪蘭族,女,五專,5
106,太魯閣族,男,總計,653
106,太魯閣族,男,博士班,7
106,太魯閣族,男,碩士班,52
106,太魯閣族,男,學士班,516
106,太魯閣族,男,二專,26
106,太魯閣族,男,五專,52
106,太魯閣族,女,總計,1168
106,太魯閣族,女,博士班,2
106,太魯閣族,女,碩士班,72
106,太魯閣族,女,學士班,752
106,太魯閣族,女,二專,50
106,太魯閣族,女,五專,292
106,撒奇萊雅族,男,總計,50
106,撒奇萊雅族,男,博士班,1
106,撒奇萊雅族,男,碩士班,3
106,撒奇萊雅族,男,學士班,44
106,撒奇萊雅族,男,二專,0
106,撒奇萊雅族,男,五專,2
106,撒奇萊雅族,女,總計,60
106,撒奇萊雅族,女,博士班,0
106,撒奇萊雅族,女,碩士班,3
106,撒奇萊雅族,女,學士班,51
106,撒奇萊雅族,女,二專,2
106,撒奇萊雅族,女,五專,4
106,賽德克族,男,總計,246
106,賽德克族,男,博士班,3
106,賽德克族,男,碩士班,22
106,賽德克族,男,學士班,208
106,賽德克族,男,二專,9
106,賽德克族,男,五專,4
106,賽德克族,女,總計,402
106,賽德克族,女,博士班,1
106,賽德克族,女,碩士班,29
106,賽德克族,女,學士班,254
106,賽德克族,女,二專,10
106,賽德克族,女,五專,108
106,拉阿魯哇族,男,總計,9
106,拉阿魯哇族,男,博士班,1
106,拉阿魯哇族,男,碩士班,0
106,拉阿魯哇族,男,學士班,8
106,拉阿魯哇族,男,二專,0
106,拉阿魯哇族,男,五專,0
106,拉阿魯哇族,女,總計,12
106,拉阿魯哇族,女,博士班,0
106,拉阿魯哇族,女,碩士班,1
106,拉阿魯哇族,女,學士班,7
106,拉阿魯哇族,女,二專,1
106,拉阿魯哇族,女,五專,3
106,卡那卡那富族,男,總計,6
106,卡那卡那富族,男,博士班,1
106,卡那卡那富族,男,碩士班,0
106,卡那卡那富族,男,學士班,2
106,卡那卡那富族,男,二專,2
106,卡那卡那富族,男,五專,1
106,卡那卡那富族,女,總計,12
106,卡那卡那富族,女,博士班,0
106,卡那卡那富族,女,碩士班,0
106,卡那卡那富族,女,學士班,9
106,卡那卡那富族,女,二專,1
106,卡那卡那富族,女,五專,2
107,總計,男,總計,10746
107,總計,男,博士班,87
107,總計,男,碩士班,796
107,總計,男,學士班,8923
107,總計,男,二專,353
107,總計,男,五專,587
107,總計,女,總計,16801
107,總計,女,博士班,60
107,總計,女,碩士班,1073
107,總計,女,學士班,11465
107,總計,女,二專,618
107,總計,女,五專,3585
107,阿美族,男,總計,3957
107,阿美族,男,博士班,21
107,阿美族,男,碩士班,242
107,阿美族,男,學士班,3401
107,阿美族,男,二專,106
107,阿美族,男,五專,187
107,阿美族,女,總計,5768
107,阿美族,女,博士班,11
107,阿美族,女,碩士班,310
107,阿美族,女,學士班,4156
107,阿美族,女,二專,216
107,阿美族,女,五專,1075
107,泰雅族,男,總計,1740
107,泰雅族,男,博士班,18
107,泰雅族,男,碩士班,138
107,泰雅族,男,學士班,1443
107,泰雅族,男,二專,52
107,泰雅族,男,五專,89
107,泰雅族,女,總計,2707
107,泰雅族,女,博士班,9
107,泰雅族,女,碩士班,180
107,泰雅族,女,學士班,1819
107,泰雅族,女,二專,80
107,泰雅族,女,五專,619
107,排灣族,男,總計,1898
107,排灣族,男,博士班,20
107,排灣族,男,碩士班,144
107,排灣族,男,學士班,1513
107,排灣族,男,二專,92
107,排灣族,男,五專,129
107,排灣族,女,總計,3347
107,排灣族,女,博士班,20
107,排灣族,女,碩士班,218
107,排灣族,女,學士班,2216
107,排灣族,女,二專,136
107,排灣族,女,五專,757
107,布農族,男,總計,1187
107,布農族,男,博士班,8
107,布農族,男,碩士班,107
107,布農族,男,學士班,953
107,布農族,男,二專,38
107,布農族,男,五專,81
107,布農族,女,總計,1800
107,布農族,女,博士班,10
107,布農族,女,碩士班,131
107,布農族,女,學士班,1100
107,布農族,女,二專,78
107,布農族,女,五專,481
107,卑南族,男,總計,281
107,卑南族,男,博士班,1
107,卑南族,男,碩士班,24
107,卑南族,男,學士班,238
107,卑南族,男,二專,9
107,卑南族,男,五專,9
107,卑南族,女,總計,449
107,卑南族,女,博士班,2
107,卑南族,女,碩士班,42
107,卑南族,女,學士班,294
107,卑南族,女,二專,15
107,卑南族,女,五專,96
107,鄒族,男,總計,140
107,鄒族,男,博士班,4
107,鄒族,男,碩士班,16
107,鄒族,男,學士班,114
107,鄒族,男,二專,2
107,鄒族,男,五專,4
107,鄒族,女,總計,212
107,鄒族,女,博士班,0
107,鄒族,女,碩士班,18
107,鄒族,女,學士班,176
107,鄒族,女,二專,3
107,鄒族,女,五專,15
107,魯凱族,男,總計,289
107,魯凱族,男,博士班,4
107,魯凱族,男,碩士班,21
107,魯凱族,男,學士班,225
107,魯凱族,男,二專,14
107,魯凱族,男,五專,25
107,魯凱族,女,總計,498
107,魯凱族,女,博士班,1
107,魯凱族,女,碩士班,51
107,魯凱族,女,學士班,338
107,魯凱族,女,二專,16
107,魯凱族,女,五專,92
107,賽夏族,男,總計,147
107,賽夏族,男,博士班,2
107,賽夏族,男,碩士班,9
107,賽夏族,男,學士班,127
107,賽夏族,男,二專,3
107,賽夏族,男,五專,6
107,賽夏族,女,總計,187
107,賽夏族,女,博士班,1
107,賽夏族,女,碩士班,8
107,賽夏族,女,學士班,139
107,賽夏族,女,二專,5
107,賽夏族,女,五專,34
107,雅美族,男,總計,90
107,雅美族,男,博士班,0
107,雅美族,男,碩士班,3
107,雅美族,男,學士班,85
107,雅美族,男,二專,0
107,雅美族,男,五專,2
107,雅美族,女,總計,154
107,雅美族,女,博士班,0
107,雅美族,女,碩士班,5
107,雅美族,女,學士班,135
107,雅美族,女,二專,3
107,雅美族,女,五專,11
107,邵族,男,總計,28
107,邵族,男,博士班,0
107,邵族,男,碩士班,2
107,邵族,男,學士班,25
107,邵族,男,二專,1
107,邵族,男,五專,0
107,邵族,女,總計,31
107,邵族,女,博士班,1
107,邵族,女,碩士班,4
107,邵族,女,學士班,21
107,邵族,女,二專,3
107,邵族,女,五專,2
107,噶瑪蘭族,男,總計,38
107,噶瑪蘭族,男,博士班,0
107,噶瑪蘭族,男,碩士班,0
107,噶瑪蘭族,男,學士班,34
107,噶瑪蘭族,男,二專,3
107,噶瑪蘭族,男,五專,1
107,噶瑪蘭族,女,總計,44
107,噶瑪蘭族,女,博士班,0
107,噶瑪蘭族,女,碩士班,2
107,噶瑪蘭族,女,學士班,31
107,噶瑪蘭族,女,二專,4
107,噶瑪蘭族,女,五專,7
107,太魯閣族,男,總計,663
107,太魯閣族,男,博士班,6
107,太魯閣族,男,碩士班,56
107,太魯閣族,男,學士班,536
107,太魯閣族,男,二專,23
107,太魯閣族,男,五專,42
107,太魯閣族,女,總計,1154
107,太魯閣族,女,博士班,3
107,太魯閣族,女,碩士班,61
107,太魯閣族,女,學士班,758
107,太魯閣族,女,二專,46
107,太魯閣族,女,五專,286
107,撒奇萊雅族,男,總計,28
107,撒奇萊雅族,男,博士班,1
107,撒奇萊雅族,男,碩士班,2
107,撒奇萊雅族,男,學士班,23
107,撒奇萊雅族,男,二專,0
107,撒奇萊雅族,男,五專,2
107,撒奇萊雅族,女,總計,28
107,撒奇萊雅族,女,博士班,0
107,撒奇萊雅族,女,碩士班,3
107,撒奇萊雅族,女,學士班,18
107,撒奇萊雅族,女,二專,2
107,撒奇萊雅族,女,五專,5
107,賽德克族,男,總計,228
107,賽德克族,男,博士班,1
107,賽德克族,男,碩士班,24
107,賽德克族,男,學士班,186
107,賽德克族,男,二專,10
107,賽德克族,男,五專,7
107,賽德克族,女,總計,369
107,賽德克族,女,博士班,2
107,賽德克族,女,碩士班,37
107,賽德克族,女,學士班,221
107,賽德克族,女,二專,9
107,賽德克族,女,五專,100
107,拉阿魯哇族,男,總計,12
107,拉阿魯哇族,男,博士班,1
107,拉阿魯哇族,男,碩士班,3
107,拉阿魯哇族,男,學士班,7
107,拉阿魯哇族,男,二專,0
107,拉阿魯哇族,男,五專,1
107,拉阿魯哇族,女,總計,22
107,拉阿魯哇族,女,博士班,0
107,拉阿魯哇族,女,碩士班,2
107,拉阿魯哇族,女,學士班,16
107,拉阿魯哇族,女,二專,1
107,拉阿魯哇族,女,五專,3
107,卡那卡那富族,男,總計,9
107,卡那卡那富族,男,博士班,0
107,卡那卡那富族,男,碩士班,0
107,卡那卡那富族,男,學士班,7
107,卡那卡那富族,男,二專,0
107,卡那卡那富族,男,五專,2
107,卡那卡那富族,女,總計,13
107,卡那卡那富族,女,博士班,0
107,卡那卡那富族,女,碩士班,0
107,卡那卡那富族,女,學士班,12
107,卡那卡那富族,女,二專,0
107,卡那卡那富族,女,五專,1
107,尚未申報族籍,男,總計,11
107,尚未申報族籍,男,博士班,0
107,尚未申報族籍,男,碩士班,5
107,尚未申報族籍,男,學士班,6
107,尚未申報族籍,男,二專,0
107,尚未申報族籍,男,五專,0
107,尚未申報族籍,女,總計,18
107,尚未申報族籍,女,博士班,0
107,尚未申報族籍,女,碩士班,1
107,尚未申報族籍,女,學士班,15
107,尚未申報族籍,女,二專,1
107,尚未申報族籍,女,五專,1
108,總計,男,總計,10890
108,總計,男,博士班,93
108,總計,男,碩士班,875
108,總計,男,學士班,8979
108,總計,男,二專,347
108,總計,男,五專,596
108,總計,女,總計,16693
108,總計,女,博士班,62
108,總計,女,碩士班,1158
108,總計,女,學士班,11337
108,總計,女,二專,614
108,總計,女,五專,3522
108,阿美族,男,總計,4057
108,阿美族,男,博士班,22
108,阿美族,男,碩士班,275
108,阿美族,男,學士班,3463
108,阿美族,男,二專,113
108,阿美族,男,五專,184
108,阿美族,女,總計,5690
108,阿美族,女,博士班,10
108,阿美族,女,碩士班,334
108,阿美族,女,學士班,4081
108,阿美族,女,二專,237
108,阿美族,女,五專,1028
108,泰雅族,男,總計,1761
108,泰雅族,男,博士班,15
108,泰雅族,男,碩士班,155
108,泰雅族,男,學士班,1435
108,泰雅族,男,二專,51
108,泰雅族,男,五專,105
108,泰雅族,女,總計,2700
108,泰雅族,女,博士班,13
108,泰雅族,女,碩士班,196
108,泰雅族,女,學士班,1781
108,泰雅族,女,二專,95
108,泰雅族,女,五專,615
108,排灣族,男,總計,1979
108,排灣族,男,博士班,27
108,排灣族,男,碩士班,166
108,排灣族,男,學士班,1581
108,排灣族,男,二專,77
108,排灣族,男,五專,128
108,排灣族,女,總計,3318
108,排灣族,女,博士班,17
108,排灣族,女,碩士班,234
108,排灣族,女,學士班,2210
108,排灣族,女,二專,107
108,排灣族,女,五專,750
108,布農族,男,總計,1204
108,布農族,男,博士班,12
108,布農族,男,碩士班,110
108,布農族,男,學士班,970
108,布農族,男,二專,35
108,布農族,男,五專,77
108,布農族,女,總計,1830
108,布農族,女,博士班,7
108,布農族,女,碩士班,149
108,布農族,女,學士班,1126
108,布農族,女,二專,60
108,布農族,女,五專,488
108,卑南族,男,總計,254
108,卑南族,男,博士班,2
108,卑南族,男,碩士班,22
108,卑南族,男,學士班,214
108,卑南族,男,二專,6
108,卑南族,男,五專,10
108,卑南族,女,總計,463
108,卑南族,女,博士班,5
108,卑南族,女,碩士班,35
108,卑南族,女,學士班,311
108,卑南族,女,二專,19
108,卑南族,女,五專,93
108,鄒族,男,總計,111
108,鄒族,男,博士班,2
108,鄒族,男,碩士班,9
108,鄒族,男,學士班,93
108,鄒族,男,二專,2
108,鄒族,男,五專,5
108,鄒族,女,總計,196
108,鄒族,女,博士班,0
108,鄒族,女,碩士班,18
108,鄒族,女,學士班,157
108,鄒族,女,二專,3
108,鄒族,女,五專,18
108,魯凱族,男,總計,277
108,魯凱族,男,博士班,3
108,魯凱族,男,碩士班,20
108,魯凱族,男,學士班,218
108,魯凱族,男,二專,8
108,魯凱族,男,五專,28
108,魯凱族,女,總計,496
108,魯凱族,女,博士班,2
108,魯凱族,女,碩士班,59
108,魯凱族,女,學士班,340
108,魯凱族,女,二專,16
108,魯凱族,女,五專,79
108,賽夏族,男,總計,133
108,賽夏族,男,博士班,1
108,賽夏族,男,碩士班,9
108,賽夏族,男,學士班,115
108,賽夏族,男,二專,1
108,賽夏族,男,五專,7
108,賽夏族,女,總計,180
108,賽夏族,女,博士班,2
108,賽夏族,女,碩士班,6
108,賽夏族,女,學士班,140
108,賽夏族,女,二專,2
108,賽夏族,女,五專,30
108,雅美族,男,總計,83
108,雅美族,男,博士班,0
108,雅美族,男,碩士班,2
108,雅美族,男,學士班,79
108,雅美族,男,二專,1
108,雅美族,男,五專,1
108,雅美族,女,總計,140
108,雅美族,女,博士班,0
108,雅美族,女,碩士班,5
108,雅美族,女,學士班,115
108,雅美族,女,二專,7
108,雅美族,女,五專,13
108,邵族,男,總計,22
108,邵族,男,博士班,0
108,邵族,男,碩士班,2
108,邵族,男,學士班,18
108,邵族,男,二專,2
108,邵族,男,五專,0
108,邵族,女,總計,33
108,邵族,女,博士班,0
108,邵族,女,碩士班,4
108,邵族,女,學士班,25
108,邵族,女,二專,2
108,邵族,女,五專,2
108,噶瑪蘭族,男,總計,37
108,噶瑪蘭族,男,博士班,0
108,噶瑪蘭族,男,碩士班,1
108,噶瑪蘭族,男,學士班,32
108,噶瑪蘭族,男,二專,3
108,噶瑪蘭族,男,五專,1
108,噶瑪蘭族,女,總計,45
108,噶瑪蘭族,女,博士班,0
108,噶瑪蘭族,女,碩士班,0
108,噶瑪蘭族,女,學士班,35
108,噶瑪蘭族,女,二專,1
108,噶瑪蘭族,女,五專,9
108,太魯閣族,男,總計,680
108,太魯閣族,男,博士班,6
108,太魯閣族,男,碩士班,57
108,太魯閣族,男,學士班,542
108,太魯閣族,男,二專,38
108,太魯閣族,男,五專,37
108,太魯閣族,女,總計,1154
108,太魯閣族,女,博士班,3
108,太魯閣族,女,碩士班,69
108,太魯閣族,女,學士班,754
108,太魯閣族,女,二專,51
108,太魯閣族,女,五專,277
108,撒奇萊雅族,男,總計,33
108,撒奇萊雅族,男,博士班,0
108,撒奇萊雅族,男,碩士班,4
108,撒奇萊雅族,男,學士班,26
108,撒奇萊雅族,男,二專,0
108,撒奇萊雅族,男,五專,3
108,撒奇萊雅族,女,總計,26
108,撒奇萊雅族,女,博士班,0
108,撒奇萊雅族,女,碩士班,5
108,撒奇萊雅族,女,學士班,15
108,撒奇萊雅族,女,二專,1
108,撒奇萊雅族,女,五專,5
