資料時間,縣市代碼,縣市,年齡組,人數,專科以上人數,專科以上占比,人數過少
113Y12M,66000,臺中市,25-34歲,7242,4308,59.49,
113Y12M,66000,臺中市,35-44歲,5957,2626,44.08,
113Y12M,66000,臺中市,45-54歲,4553,1203,26.42,
113Y12M,66000,臺中市,55-64歲,3956,621,15.7,
113Y12M,66000,臺中市,65歲以上,2503,243,9.71,
113Y12M,67000,臺南市,15-24歲,1568,794,50.64,
113Y12M,67000,臺南市,25-34歲,1751,1238,70.7,
113Y12M,67000,臺南市,35-44歲,1570,851,54.2,
113Y12M,67000,臺南市,45-54歲,1219,449,36.83,
113Y12M,67000,臺南市,55-64歲,853,167,19.58,
113Y12M,67000,臺南市,65歲以上,602,69,11.46,
113Y12M,68000,桃園市,15-24歲,13257,5812,43.84,
113Y12M,68000,桃園市,25-34歲,15264,8295,54.34,
113Y12M,68000,桃園市,35-44歲,13166,4908,37.28,
113Y12M,68000,桃園市,45-54歲,10763,2524,23.45,
113Y12M,68000,桃園市,55-64歲,8408,993,11.81,
113Y12M,68000,桃園市,65歲以上,5652,350,6.19,
