學年度,縣市,等級別,出生戶籍地在學數,學校所在地在學數,學校所在地在學數_不含空大宗教,一般生學校所在地數,淨流動,就學戶籍比,出生戶籍地畢業數,學校所在地畢業數,集中倍數
113,基隆市,總計,372,487,487,12896.0,115,130.91,59,117,1.56
113,基隆市,博士班,0,4,4,337.0,4,,0,0,1.502
113,基隆市,碩士班,32,25,25,2293.0,-7,78.12,7,7,0.776
113,基隆市,學士班,282,413,413,9262.0,131,146.45,46,106,1.835
113,基隆市,二專,12,8,8,145.0,-4,66.67,2,2,1.02
113,基隆市,五專,46,37,37,859.0,-9,80.43,4,2,0.783
113,新竹市,總計,168,427,427,48474.0,259,254.17,33,99,0.364
113,新竹市,博士班,1,27,27,4333.0,26,2700.0,1,2,0.788
113,新竹市,碩士班,11,121,121,18867.0,110,1100.0,1,23,0.456
113,新竹市,學士班,137,279,279,25274.0,142,203.65,26,74,0.454
113,新竹市,二專,0,0,0,,0,,2,0,
113,新竹市,五專,19,0,0,,-19,0.0,3,0,
113,嘉義市,總計,48,170,170,11179.0,122,354.17,10,37,0.628
113,嘉義市,博士班,0,1,1,195.0,1,,0,0,0.649
113,嘉義市,碩士班,3,31,31,2081.0,28,1033.33,2,5,1.06
113,嘉義市,學士班,40,138,138,8903.0,98,345.0,5,32,0.638
113,嘉義市,二專,0,0,0,,0,,1,0,
113,嘉義市,五專,5,0,0,,-5,0.0,2,0,
113,金門縣,總計,15,54,54,3769.0,39,360.0,2,21,0.592
113,金門縣,博士班,0,0,0,9.0,0,,0,0,0.0
113,金門縣,碩士班,2,4,4,304.0,2,200.0,0,1,0.936
113,金門縣,學士班,12,50,50,3456.0,38,416.67,2,20,0.595
113,金門縣,二專,0,0,0,,0,,0,0,
113,金門縣,五專,1,0,0,,-1,0.0,0,0,
113,連江縣,總計,4,0,0,,-4,0.0,0,0,
113,連江縣,博士班,0,0,0,,0,,0,0,
113,連江縣,碩士班,0,0,0,,0,,0,0,
113,連江縣,學士班,4,0,0,,-4,0.0,0,0,
113,連江縣,二專,0,0,0,,0,,0,0,
113,連江縣,五專,0,0,0,,0,,0,0,
114,新北市,總計,2528,3611,2454,115314.0,1083,142.84,399,642,0.857
114,新北市,博士班,14,10,10,1337.0,-4,71.43,2,0,0.852
114,新北市,碩士班,188,168,168,10767.0,-20,89.36,33,25,1.062
114,新北市,學士班,2009,2828,2059,95959.0,819,140.77,318,497,0.856
114,新北市,二專,36,407,19,343.0,371,1130.56,17,89,1.077
114,新北市,五專,281,198,198,6908.0,-83,70.46,29,31,0.51
114,臺北市,總計,1105,4554,4286,226197.0,3449,412.13,169,796,0.763
114,臺北市,博士班,18,57,57,10023.0,39,316.67,0,4,0.648
114,臺北市,碩士班,114,501,483,53261.0,387,439.47,9,80,0.617
114,臺北市,學士班,870,3470,3335,153204.0,2600,398.85,146,624,0.869
114,臺北市,二專,18,142,27,803.0,124,788.89,6,48,0.653
114,臺北市,五專,85,384,384,8906.0,299,451.76,8,40,0.767
114,桃園市,總計,2901,2880,2876,90586.0,-21,99.28,522,505,1.278
114,桃園市,博士班,12,19,19,2018.0,7,158.33,0,1,1.073
114,桃園市,碩士班,189,216,212,13255.0,27,114.29,49,48,1.089
114,桃園市,學士班,2284,1998,1998,69111.0,-286,87.48,415,354,1.153
114,桃園市,二專,37,30,30,220.0,-7,81.08,9,8,2.65
114,桃園市,五專,379,617,617,5982.0,238,162.8,49,94,1.835
114,臺中市,總計,1489,3349,3319,171299.0,1860,224.92,270,594,0.78
114,臺中市,博士班,14,29,29,2920.0,15,207.14,2,5,1.131
114,臺中市,碩士班,114,349,349,20044.0,235,306.14,29,58,1.185
114,臺中市,學士班,1179,2854,2833,143619.0,1675,242.07,208,512,0.787
114,臺中市,二專,22,19,10,765.0,-3,86.36,6,10,0.254
114,臺中市,五專,160,98,98,3951.0,-62,61.25,25,9,0.441
114,臺南市,總計,477,1684,1677,87186.0,1207,353.04,89,298,0.774
114,臺南市,博士班,3,17,17,2320.0,14,566.67,1,1,0.835
114,臺南市,碩士班,40,121,114,14393.0,81,302.5,8,22,0.539
114,臺南市,學士班,366,1209,1209,60421.0,843,330.33,73,241,0.798
114,臺南市,二專,4,3,3,337.0,-1,75.0,0,4,0.173
114,臺南市,五專,64,334,334,9715.0,270,521.88,7,30,0.612
114,高雄市,總計,1926,3235,2968,115563.0,1309,167.96,362,599,1.034
114,高雄市,博士班,8,18,18,2494.0,10,225.0,0,0,0.822
114,高雄市,碩士班,196,208,208,16893.0,12,106.12,25,37,0.838
114,高雄市,學士班,1425,2426,2159,81421.0,1001,170.25,297,469,1.058
114,高雄市,二專,43,46,46,1396.0,3,106.98,5,20,0.64
114,高雄市,五專,254,537,537,13359.0,283,211.42,35,73,0.715
114,宜蘭縣,總計,950,420,420,8723.0,-530,44.21,149,64,1.939
