學年度,縣市,等級別,出生戶籍地在學數,學校所在地在學數,學校所在地在學數_不含空大宗教,一般生學校所在地數,淨流動,就學戶籍比,出生戶籍地畢業數,學校所在地畢業數,集中倍數
114,宜蘭縣,博士班,6,3,3,71.0,-3,50.0,0,0,4.813
114,宜蘭縣,碩士班,94,29,29,1256.0,-65,30.85,24,7,1.572
114,宜蘭縣,學士班,638,208,208,6216.0,-430,32.6,101,40,1.335
114,宜蘭縣,二專,31,22,22,205.0,-9,70.97,3,0,2.086
114,宜蘭縣,五專,181,158,158,975.0,-23,87.29,21,17,2.884
114,新竹縣,總計,1053,287,287,11053.0,-766,27.26,222,66,1.045
114,新竹縣,博士班,9,0,0,9.0,-9,0.0,0,0,0.0
114,新竹縣,碩士班,102,29,29,603.0,-73,28.43,28,10,3.274
114,新竹縣,學士班,781,254,254,10250.0,-527,32.52,166,55,0.989
114,新竹縣,二專,26,2,2,120.0,-24,7.69,4,1,0.324
114,新竹縣,五專,135,2,2,71.0,-133,1.48,24,0,0.501
114,苗栗縣,總計,565,393,393,15557.0,-172,69.56,115,62,1.017
114,苗栗縣,博士班,6,0,0,29.0,-6,0.0,0,0,0.0
114,苗栗縣,碩士班,44,12,12,822.0,-32,27.27,14,2,0.994
114,苗栗縣,學士班,429,194,194,9866.0,-235,45.22,89,39,0.785
114,苗栗縣,二專,8,12,12,422.0,4,150.0,2,3,0.553
114,苗栗縣,五專,78,175,175,4418.0,97,224.36,10,18,0.705
114,彰化縣,總計,355,308,308,15053.0,-47,86.76,51,53,0.824
114,彰化縣,博士班,1,8,8,535.0,7,800.0,0,0,1.703
114,彰化縣,碩士班,20,39,39,3566.0,19,195.0,1,20,0.745
114,彰化縣,學士班,289,260,260,10907.0,-29,89.97,47,31,0.951
114,彰化縣,二專,3,1,1,45.0,-2,33.33,0,2,0.432
114,彰化縣,五專,42,0,0,,-42,0.0,3,0,
114,南投縣,總計,1588,378,377,8570.0,-1210,23.8,304,83,1.771
114,南投縣,博士班,28,6,6,352.0,-22,21.43,3,1,1.942
114,南投縣,碩士班,190,38,37,1391.0,-152,20.0,44,16,1.811
114,南投縣,學士班,1072,329,329,6620.0,-743,30.69,207,65,1.983
114,南投縣,二專,37,3,3,43.0,-34,8.11,9,1,1.356
114,南投縣,五專,261,2,2,164.0,-259,0.77,41,0,0.217
114,雲林縣,總計,166,298,298,22155.0,132,179.52,35,50,0.542
114,雲林縣,博士班,0,0,0,505.0,0,,0,0,0.0
114,雲林縣,碩士班,7,25,25,4500.0,18,357.14,4,6,0.378
114,雲林縣,學士班,132,268,268,16675.0,136,203.03,22,44,0.641
114,雲林縣,二專,3,0,0,74.0,-3,0.0,4,0,0.0
114,雲林縣,五專,24,5,5,401.0,-19,20.83,5,0,0.222
114,嘉義縣,總計,292,339,339,22171.0,47,116.1,52,72,0.616
114,嘉義縣,博士班,3,6,6,616.0,3,200.0,0,0,1.11
114,嘉義縣,碩士班,43,45,45,5404.0,2,104.65,6,16,0.567
114,嘉義縣,學士班,217,240,240,13170.0,23,110.6,38,48,0.727
114,嘉義縣,二專,3,4,4,187.0,1,133.33,1,2,0.416
114,嘉義縣,五專,26,44,44,2794.0,18,169.23,7,6,0.28
114,屏東縣,總計,2978,2013,2013,25736.0,-965,67.6,603,470,3.149
114,屏東縣,博士班,46,13,13,296.0,-33,28.26,2,1,5.003
114,屏東縣,碩士班,358,211,211,3216.0,-147,58.94,63,46,4.466
114,屏東縣,學士班,2069,1361,1361,19610.0,-708,65.78,475,367,2.769
114,屏東縣,二專,76,52,52,235.0,-24,68.42,21,13,4.3
114,屏東縣,五專,429,376,376,2379.0,-53,87.65,42,43,2.813
114,臺東縣,總計,3909,792,792,4599.0,-3117,20.26,822,170,6.934
114,臺東縣,博士班,45,8,8,52.0,-37,17.78,4,1,17.526
114,臺東縣,碩士班,385,155,155,891.0,-230,40.26,79,27,11.843
114,臺東縣,學士班,2753,541,541,3273.0,-2212,19.65,612,122,6.595
114,臺東縣,二專,211,50,50,270.0,-161,23.7,67,17,3.599
114,臺東縣,五專,515,38,38,113.0,-477,7.38,60,3,5.984
114,花蓮縣,總計,4371,1649,1649,13380.0,-2722,37.73,962,403,4.962
114,花蓮縣,博士班,41,30,30,488.0,-11,73.17,2,2,7.003
114,花蓮縣,碩士班,484,278,278,2133.0,-206,57.44,84,55,8.873
114,花蓮縣,學士班,3152,884,884,10114.0,-2268,28.05,732,258,3.487
114,花蓮縣,二專,225,0,0,18.0,-225,0.0,75,10,0.0
114,花蓮縣,五專,469,457,457,627.0,-12,97.44,69,78,12.971
114,澎湖縣,總計,21,23,23,2179.0,2,109.52,1,2,0.425
114,澎湖縣,博士班,0,0,0,,0,,0,0,
114,澎湖縣,碩士班,1,2,2,100.0,1,200.0,1,0,1.362
114,澎湖縣,學士班,14,20,20,1981.0,6,142.86,0,2,0.403
114,澎湖縣,二專,3,0,0,,-3,0.0,0,0,
114,澎湖縣,五專,3,1,1,98.0,-2,33.33,0,0,0.182
114,基隆市,總計,391,457,457,12785.0,66,116.88,68,166,1.439
114,基隆市,博士班,0,2,2,354.0,2,,0,0,0.644
114,基隆市,碩士班,34,24,24,2295.0,-10,70.59,1,3,0.712
114,基隆市,學士班,294,383,383,9186.0,89,130.27,58,156,1.664
114,基隆市,二專,13,7,7,114.0,-6,53.85,1,2,1.193
114,基隆市,五專,50,41,41,836.0,-9,82.0,8,5,0.873
114,新竹市,總計,215,445,445,48594.0,230,206.98,29,98,0.369
114,新竹市,博士班,1,26,26,4434.0,25,2600.0,0,0,0.668
114,新竹市,碩士班,12,135,135,19066.0,123,1125.0,4,26,0.482
114,新竹市,學士班,175,284,284,25094.0,109,162.29,22,72,0.452
114,新竹市,二專,1,0,0,,-1,0.0,0,0,
114,新竹市,五專,26,0,0,,-26,0.0,3,0,
114,嘉義市,總計,49,180,180,10923.0,131,367.35,8,32,0.663
114,嘉義市,博士班,0,3,3,181.0,3,,0,0,1.888
114,嘉義市,碩士班,4,31,31,2038.0,27,775.0,1,4,1.035
114,嘉義市,學士班,41,146,146,8704.0,105,356.1,6,28,0.669
114,嘉義市,二專,0,0,0,,0,,0,0,
114,嘉義市,五專,4,0,0,,-4,0.0,1,0,
114,金門縣,總計,14,52,52,3608.0,38,371.43,3,12,0.58
114,金門縣,博士班,0,0,0,15.0,0,,0,0,0.0
114,金門縣,碩士班,0,3,3,354.0,3,,2,1,0.577
114,金門縣,學士班,13,49,49,3239.0,36,376.92,1,11,0.604
114,金門縣,二專,0,0,0,,0,,0,0,
114,金門縣,五專,1,0,0,,-1,0.0,0,0,
114,連江縣,總計,4,0,0,,-4,0.0,2,0,
114,連江縣,博士班,0,0,0,,0,,0,0,
114,連江縣,碩士班,0,0,0,,0,,0,0,
114,連江縣,學士班,4,0,0,,-4,0.0,2,0,
114,連江縣,二專,0,0,0,,0,,0,0,
114,連江縣,五專,0,0,0,,0,,0,0,
